hour,prediction,lower_bound,upper_bound
1,205.44815064113106,154.59810365766938,256.2981976245928
2,200.52602192634478,128.64109547168204,272.41094838100753
3,205.44807427477684,117.39598817033412,293.50016037921955
4,200.52609829151416,98.86546036937861,302.18673621364974
5,205.44799791079225,91.77912593424335,319.1168698873412
6,200.526174654314,76.01782973707633,325.03451957155164
7,205.4479215491772,70.95608147904184,339.93976161931255
8,200.5262510147443,56.756398106441225,344.2961039230474
9,205.44784518993163,52.95031198223148,357.94537839763177
10,200.52632737280518,39.78674526413042,361.26590948148
11,205.44776883305545,36.856724517619455,374.03881314849144
12,200.5264037284967,24.445013719164052,376.6077937378293
13,205.44769247854856,22.17089958796481,388.7244853691323
14,200.52648008181893,10.336841671318155,390.7161184923197
15,205.44761612641096,8.577543740841094,402.3176885119808
16,200.52655643277197,-2.7947194086076195,403.84783227415153
17,205.44753977664251,-4.136018714700128,415.03109826798516
18,200.52663278135586,-15.12814657854318,416.1814121412549
19,205.4474634292432,-16.121285672794073,427.0162125312804
20,200.52670912757068,-26.793387898007154,427.8468061531485
21,205.44738708421286,-27.490701616072442,438.38547578449817
22,200.52678547141653,-37.88854365534189,438.94211459817495
23,205.4473107415515,-38.33044820293341,449.22506968603636
24,200.52686181289343,-48.48982801627042,449.5435516420573
